Name,MLBAM_ID,Team,G,GS,IP,TBF,SO,K/9
Tanner Andrews,681084,Toronto Blue Jays,2,0,3.0000,11,1,3.0000
Ty Blach,621389,Chicago Cubs,1,0,3.0000,9,2,6.0000
Tyler Callihan,682997,Pittsburgh Pirates,4,0,3.0000,15,1,3.0000
Eiberson Castellano,682769,Colorado Rockies,1,0,3.0000,12,2,6.0000
Brendan Cellucci,676454,Toronto Blue Jays,5,0,6.6667,23,8,10.8000
Jose Espada,664744,Baltimore Orioles,1,0,1.0000,4,0,0.0000
Rafael Flores Jr.,804668,Pittsburgh Pirates,1,0,1.0000,5,0,0.0000
Anthony Gose,543238,Kansas City Royals,13,0,13.0000,48,7,4.8462
Josiah Gray,680686,Washington Nationals,2,0,3.0000,11,1,3.0000
Sam Haggerty,664059,Texas Rangers,1,0,1.0000,3,0,0.0000
Kevin Herget,643361,New York Mets,1,0,1.0000,3,0,0.0000
Enrique Hernández,571771,Los Angeles Dodgers,1,0,1.0000,4,0,0.0000
Welinton Herrera,700327,Colorado Rockies,3,0,2.3333,10,2,7.7143
P.J. Higgins,664731,Cincinnati Reds,1,0,1.0000,3,1,9.0000
Grant Holman,680880,Philadelphia Phillies,1,0,0.3333,7,0,0.0000
Troy Johnston,687859,Colorado Rockies,2,0,2.0000,9,0,0.0000
Antoine Kelly,681520,Chicago Cubs,1,0,1.3333,4,1,6.7500
Brooks Kriske,621139,Athletics,2,0,2.6667,11,2,6.7500
Luke Maile,571912,Kansas City Royals,1,0,1.0000,3,0,0.0000
Justin Martinez,679885,Arizona Diamondbacks,13,0,12.0000,47,16,12.0000
Reese McGuire,624512,Chicago White Sox,1,0,1.0000,3,0,0.0000
Jake Meyers,676694,Houston Astros,1,0,1.0000,3,0,0.0000
Noah Murdock,668716,Pittsburgh Pirates,3,0,3.3333,15,4,10.8000
Austin Peterson,804926,Cleveland Guardians,1,0,2.0000,8,3,13.5000
José Rodríguez,692064,Toronto Blue Jays,4,0,4.6667,16,5,9.6429
Jake Rogers,668670,Detroit Tigers,3,0,2.3333,12,3,11.5714
Josh Rojas,668942,Kansas City Royals,1,0,1.0000,4,0,0.0000
Dylan Ross,697811,New York Mets,1,0,1.0000,3,0,0.0000
River Ryan,689981,Detroit Tigers,1,1,3.0000,12,3,9.0000
Yacksel Ríos,605441,Chicago Cubs,1,0,1.6667,5,2,10.8000
Clarke Schmidt,657376,New York Yankees,1,0,0.6667,4,2,27.0000
Max Schuemann,680474,New York Yankees,1,0,1.0000,5,0,0.0000
Zack Short,670097,New York Mets,1,0,1.0000,3,0,0.0000
Garrett Stallings,668831,Milwaukee Brewers,6,0,14.0000,51,17,10.9286
Gary Sánchez,596142,Milwaukee Brewers,2,0,2.0000,10,0,0.0000
Bryan Torres,663494,St. Louis Cardinals,1,0,2.0000,8,0,0.0000
Vince Velasquez,592826,Chicago Cubs,2,0,3.3333,11,1,2.7000
Cameron Weston,687721,Baltimore Orioles,1,0,1.0000,3,1,9.0000
Guillo Zuñiga,670871,New York Mets,1,0,1.0000,4,1,9.0000
Matt Brash,666374,Seattle Mariners,20,0,16.6667,64,15,8.1000
Robert Suarez,663158,Atlanta Braves,32,0,33.0000,125,26,7.0909
Derek Law,571882,Arizona Diamondbacks,7,1,9.0000,34,5,5.0000
Josh Hader,623352,Houston Astros,45,0,44.6667,167,55,11.0821
Alec Gamboa,687941,Boston Red Sox,20,2,31.0000,121,22,6.3871
Alimber Santa,695001,Houston Astros,10,0,15.3333,59,9,5.2826
Mason Miller,695243,San Diego Padres,64,0,68.0000,259,125,16.5441
Wyatt Olds,681544,Boston Red Sox,13,0,15.0000,64,20,12.0000
Louis Varland,686973,Toronto Blue Jays,70,0,77.0000,304,95,11.1039
Hagen Smith,696146,Chicago White Sox,17,1,27.3333,107,40,13.1707
Yerry De los Santos,660787,New York Yankees,15,0,20.0000,84,15,6.7500
Brian Fitzpatrick,702153,Milwaukee Brewers,5,0,6.6667,30,5,6.7500
Marco Gonzales,594835,Texas Rangers,3,0,6.6667,29,3,4.0500
Kervin Castro,665645,New York Yankees,5,0,6.3333,23,8,11.3684
Bryan Baker,641329,Tampa Bay Rays,64,0,61.3333,241,63,9.2446
Carl Edwards Jr.,605218,New York Mets,2,0,6.0000,25,11,16.5000
Ricky Tiedemann,694357,Toronto Blue Jays,5,0,6.0000,29,8,12.0000
Josh Walker,677020,Baltimore Orioles,30,0,29.6667,121,27,8.1910
Paul Blackburn,621112,New York Yankees,61,2,84.0000,330,68,7.2857
Garrett Whitlock,676477,Boston Red Sox,54,0,52.3333,198,59,10.1465
Logan VanWey,701121,Houston Astros,8,0,10.3333,36,7,6.0968
Ray Kerr,678061,Atlanta Braves,8,0,15.3333,55,11,6.4565
Shohei Ohtani,660271,Los Angeles Dodgers,14,14,85.6667,340,95,9.9805
Tyler Rogers,643511,Toronto Blue Jays,73,0,70.0000,290,39,5.0143
Nate Lavender,681320,New York Mets,19,0,19.6667,73,25,11.4407
Ben Brown,676962,Chicago Cubs,20,8,68.0000,265,65,8.6029
Jacob Misiorowski,694819,Milwaukee Brewers,29,29,169.3333,646,247,13.1280
James Karinchak,675916,Atlanta Braves,9,0,9.6667,37,8,7.4483
Blake Snell,605483,Los Angeles Dodgers,8,8,38.6667,157,52,12.1034
Yuki Matsui,673513,San Diego Padres,52,0,62.6667,255,66,9.4787
Jhoan Duran,661395,Philadelphia Phillies,59,0,57.3333,230,81,12.7151
Aroldis Chapman,547973,Boston Red Sox,53,0,51.6667,213,71,12.3677
Luis De León,801725,Baltimore Orioles,8,0,9.3333,36,6,5.7857
Jack Sinclair,695378,Washington Nationals,9,0,9.3333,38,6,5.7857
Cam Schlittler,693645,New York Yankees,33,33,193.6667,761,239,11.1067
DL Hall,669084,Milwaukee Brewers,46,1,59.6667,235,63,9.5028
Brandyn Garcia,805299,Arizona Diamondbacks,56,0,50.3333,187,59,10.5497
Cade Smith,671922,Cleveland Guardians,67,0,72.3333,290,104,12.9401
Alex McFarlane,686934,Philadelphia Phillies,18,0,18.0000,73,19,9.5000
Abner Uribe,682842,Milwaukee Brewers,60,0,58.3333,230,61,9.4114
Cam Booser,592155,Tampa Bay Rays,40,0,39.3333,146,43,9.8390
Juan Burgos,686228,Arizona Diamondbacks,4,0,4.3333,17,0,0.0000
Brent Headrick,687396,New York Yankees,80,0,77.3333,320,96,11.1724
Trent Harris,805345,San Francisco Giants,20,0,21.3333,85,27,11.3906
Daniel Duarte,650960,New York Mets,24,0,29.6667,112,30,9.1011
Steven Okert,595345,Houston Astros,68,1,67.6667,261,68,9.0443
Juan Morillo,666661,Arizona Diamondbacks,68,0,63.3333,258,73,10.3737
Jack Weisenburger,674073,New York Mets,7,0,12.6667,50,14,9.9474
Jacob Latz,656641,Texas Rangers,57,1,71.0000,268,80,10.1408
Chris Sale,519242,Atlanta Braves,27,27,162.6667,648,200,11.0656
Riley Martin,702303,Chicago Cubs,8,1,8.3333,31,10,10.8000
Jack Anderson,681252,Minnesota Twins,7,0,12.3333,48,12,8.7568
Jonathan Loáisiga,642528,Arizona Diamondbacks,66,0,65.0000,253,47,6.5077
Didier Fuentes,800311,Atlanta Braves,57,1,72.3333,291,92,11.4470
Jake Eder,671109,Los Angeles Dodgers,4,0,4.0000,15,1,2.2500
Julian Fernández,642759,Washington Nationals,3,0,4.0000,18,3,6.7500
Bradgley Rodriguez,699134,San Diego Padres,67,4,72.0000,294,79,9.8750
Grant Taylor,691799,Chicago White Sox,59,4,82.0000,330,103,11.3049
Dylan Dodd,689266,Atlanta Braves,46,0,46.6667,181,50,9.6429
Brock Burke,656271,Cincinnati Reds,76,0,73.3333,310,74,9.0818
Paul Gervase,801434,Los Angeles Dodgers,4,0,7.6667,34,8,9.3913
Tyler Wells,669330,Tampa Bay Rays,57,0,72.0000,277,72,9.0000
Joel Peguero,666711,San Francisco Giants,11,0,11.3333,48,5,3.9706
Dylan Cease,656302,Toronto Blue Jays,29,29,169.0000,685,239,12.7278
Jose Cuas,621016,Kansas City Royals,23,0,22.3333,103,25,10.0746
A.J. Minter,621345,Minnesota Twins,47,0,44.6667,182,41,8.2612
Zach Eflin,621107,Baltimore Orioles,1,1,3.6667,17,7,17.1818
Elieser Hernández,622694,Atlanta Braves,4,0,11.0000,50,11,9.0000
Cade Horton,690990,Chicago Cubs,2,2,7.3333,26,4,4.9091
Brock Stewart,592779,Los Angeles Dodgers,27,1,25.6667,98,24,8.4156
Eddy Yean,678868,Washington Nationals,8,1,11.0000,45,7,5.7273
Logan Henderson,701656,Milwaukee Brewers,18,18,98.3333,371,110,10.0678
Kevin Kelly,687330,Tampa Bay Rays,70,0,72.6667,276,62,7.6789
David Bednar,670280,New York Yankees,63,0,68.3333,274,75,9.8780
Jason Adam,592094,San Diego Padres,36,0,32.3333,134,22,6.1237
Gavin Hollowell,668970,Chicago Cubs,14,0,14.3333,62,13,8.1628
Yoshinobu Yamamoto,808967,Los Angeles Dodgers,28,28,185.0000,708,182,8.8541
Mason Montgomery,682254,Pittsburgh Pirates,68,5,67.0000,270,102,13.7015
Parker Messick,800048,Cleveland Guardians,31,31,183.3333,731,191,9.3764
Jacob Waguespack,621097,Detroit Tigers,34,1,45.6667,177,33,6.5036
Spencer Miles,693686,Toronto Blue Jays,48,8,94.6667,381,91,8.6514
Tayler Saucedo,642048,Los Angeles Angels,27,0,21.0000,86,25,10.7143
Raisel Iglesias,628452,Atlanta Braves,58,0,59.0000,235,64,9.7627
Anthony Bender,669622,Miami Marlins,35,0,34.3333,140,41,10.7476
Scott Blewett,656240,Athletics,23,0,34.3333,144,32,8.3883
Tyler Samaniego,701719,Boston Red Sox,20,1,20.3333,90,17,7.5246
Carlos Rodón,607074,New York Yankees,16,16,84.3333,340,91,9.7115
Drew Rasmussen,656876,Tampa Bay Rays,30,30,172.0000,669,174,9.1047
Trevor Megill,656730,Milwaukee Brewers,62,0,60.6667,238,68,10.0879
Max Meyer,676974,Miami Marlins,20,20,111.0000,462,121,9.8108
Robert Garcia,676395,Texas Rangers,18,0,16.6667,65,11,5.9400
Parker Mushinski,656786,Colorado Rockies,8,0,6.6667,34,0,0.0000
PJ Poulin,676571,Washington Nationals,35,11,36.6667,153,25,6.1364
Blake Weiman,676620,Los Angeles Angels,17,0,16.6667,74,15,8.1000
Sonny Gray,543243,Boston Red Sox,29,29,169.0000,683,149,7.9349
Erik Sabrowski,681870,Cleveland Guardians,58,0,46.3333,195,73,14.1799
Luke Weaver,596133,Pittsburgh Pirates,59,0,59.3333,235,64,9.7079
Alex Vesia,681911,Los Angeles Dodgers,70,0,56.0000,231,71,11.4107
Gordon Graceffo,700669,St. Louis Cardinals,61,1,79.0000,316,60,6.8354
Colin Holderman,670059,Cleveland Guardians,54,0,52.6667,222,50,8.5443
Troy Melton,675512,Detroit Tigers,20,20,114.3333,470,94,7.3994
Ben Peoples,687239,Texas Rangers,16,0,16.3333,68,10,5.5102
Tyler Holton,663947,Detroit Tigers,66,3,71.6667,300,55,6.9070
Tanner Scott,656945,Los Angeles Dodgers,67,0,61.6667,244,78,11.3838
Hunter Gaddis,683769,Cleveland Guardians,67,0,58.3333,249,56,8.6400
Max Fried,608331,New York Yankees,20,20,112.6667,434,104,8.3077
Adrian Morejon,670970,San Diego Padres,74,0,83.6667,342,103,11.0797
Duncan Davitt,701474,San Francisco Giants,4,0,6.3333,25,3,4.2632
Miguel Ullola,699044,Houston Astros,9,2,12.6667,48,12,8.5263
Tarik Skubal,669373,Los Angeles Dodgers,25,25,151.6667,597,176,10.4440
Edgardo Henriquez,683618,Los Angeles Dodgers,61,1,60.0000,242,71,10.6500
Chase Burns,695505,Cincinnati Reds,29,29,154.3333,630,185,10.7883
Taylor Clarke,664199,Arizona Diamondbacks,70,1,72.3333,282,45,5.5991
Cal Quantrill,615698,Texas Rangers,32,15,110.0000,443,81,6.6273
Jesús Luzardo,666200,Philadelphia Phillies,29,29,178.6667,727,221,11.1325
Brennan Bernardino,657514,Colorado Rockies,72,2,62.3333,261,48,6.9305
Tim Herrin,682120,Cleveland Guardians,66,0,56.0000,236,54,8.6786
Eduardo Rodriguez,593958,Arizona Diamondbacks,32,32,189.6667,788,143,6.7856
Yennier Cano,666974,Baltimore Orioles,68,0,49.6667,204,45,8.1544
Yohan Ramírez,670990,Pittsburgh Pirates,65,1,83.6667,355,99,10.6494
William Kempner,687531,Miami Marlins,9,0,12.3333,50,14,10.2162
Cristopher Sánchez,650911,Philadelphia Phillies,32,32,200.0000,830,221,9.9450
Brant Hurter,676428,Detroit Tigers,28,0,33.6667,137,24,6.4158
Nick Martinez,607259,Tampa Bay Rays,30,30,177.3333,706,108,5.4812
Walbert Ureña,700712,Los Angeles Angels,29,27,148.3333,625,142,8.6157
Brandon Woodruff,605540,Milwaukee Brewers,9,9,45.3333,174,47,9.3309
Erik Miller,669062,Boston Red Sox,57,1,51.3333,227,74,12.9740
Jhony Brito,666745,San Diego Padres,5,0,9.0000,35,6,6.0000
Zach Brzykcy,694350,Miami Marlins,2,0,3.0000,12,2,6.0000
Brian Keller,662144,Philadelphia Phillies,1,0,3.0000,11,3,9.0000
Joe Mantiply,573009,Toronto Blue Jays,25,0,27.0000,111,22,7.3333
Marco Raya,694397,Minnesota Twins,3,0,6.0000,25,4,6.0000
Gabe Speier,642100,Seattle Mariners,53,0,45.0000,187,44,8.8000
Blake Walston,686796,Arizona Diamondbacks,2,0,3.0000,13,2,6.0000
Huascar Brazobán,623211,Chicago White Sox,59,6,65.6667,263,56,7.6751
Ryan Rolison,669020,Chicago Cubs,59,2,62.6667,253,54,7.7553
Cade Cavalli,676917,Washington Nationals,32,32,169.6667,706,200,10.6090
Payton Tolle,801139,Boston Red Sox,26,26,148.6667,603,171,10.3520
Martín Pérez,527048,Atlanta Braves,30,26,142.0000,596,102,6.4648
Zack Wheeler,554430,Philadelphia Phillies,27,27,156.0000,622,188,10.8462
Chad Patrick,694477,Milwaukee Brewers,56,6,105.6667,436,93,7.9211
Michael Petersen,656848,Miami Marlins,64,0,64.3333,264,81,11.3316
Rico Garcia,670329,Baltimore Orioles,75,0,67.0000,265,68,9.1343
Tyron Guerrero,594027,Boston Red Sox,40,0,40.6667,166,41,9.0738
Luis Medina,665622,Athletics,59,1,72.3333,313,92,11.4470
Samy Natera Jr.,696519,Los Angeles Angels,28,0,31.6667,131,48,13.6421
Fernando Cruz,518585,New York Yankees,61,0,54.6667,234,67,11.0305
Julian Garcia,670062,Cincinnati Reds,33,0,46.0000,179,41,8.0217
Tyler Schweitzer,805326,Chicago White Sox,18,0,37.3333,154,18,4.3393
Dylan Lee,669276,Atlanta Braves,70,0,66.0000,259,76,10.3636
Nolan McLean,690997,New York Mets,31,31,179.6667,747,194,9.7180
Jack Dreyer,676263,Los Angeles Dodgers,66,2,62.6667,254,71,10.1968
Evan Sisk,681895,Pittsburgh Pirates,39,0,42.6667,186,48,10.1250
Andrew Alvarez,674841,Washington Nationals,24,16,108.0000,450,107,8.9167
Sean Newcomb,656794,Chicago White Sox,58,6,88.0000,363,80,8.1818
Carter Baumler,691945,Texas Rangers,4,0,5.6667,27,6,9.5294
Burch Smith,572143,Detroit Tigers,13,1,17.0000,73,20,10.5882
Jovani Morán,663558,Boston Red Sox,49,3,65.0000,268,72,9.9692
Aaron Ashby,676879,Milwaukee Brewers,74,1,87.3333,377,114,11.7481
Michael King,650633,San Diego Padres,32,32,185.0000,757,159,7.7351
Nolan Hoffman,676510,Kansas City Royals,13,0,14.0000,61,11,7.0714
Erik Tolman,680899,Washington Nationals,14,0,14.0000,61,15,9.6429
Ranger Suarez,624133,Boston Red Sox,28,28,148.3333,612,140,8.4944
Tejay Antone,622088,Cincinnati Reds,56,0,53.0000,228,55,9.3396
Clay Holmes,605280,Chicago Cubs,17,17,97.0000,399,75,6.9588
Braydon Fisher,680755,Toronto Blue Jays,74,10,74.6667,305,73,8.7991
Cooper Criswell,681867,Seattle Mariners,35,0,38.6667,161,31,7.2155
Hunter Brown,686613,Houston Astros,19,19,102.0000,427,120,10.5882
Kenley Jansen,445276,Detroit Tigers,49,0,44.0000,177,49,10.0227
Michael Fulmer,605242,New York Yankees,15,0,13.6667,61,18,11.8537
Nick Pivetta,601713,San Diego Padres,7,7,30.0000,120,35,10.5000
Zack Kelly,677161,Boston Red Sox,17,0,16.3333,71,14,7.7143
